Price,Area,Location,No. of Bedrooms,Is_New,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Price per sq ft.,Total Amenities
16500000,1585,Kharghar,3,Old,1,1,1,1,1,1,1,1,0,0,0,1,1,"10,410",10
8600000,1350,Kharghar,2,Old,0,1,1,1,1,0,0,1,1,0,0,0,0,"6,370",6
10000000,1075,Kharghar,2,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"9,302",12
10500000,1155,Kharghar,2,Old,1,1,1,1,1,1,1,1,1,1,1,1,1,"9,091",13
4700000,625,Kharghar,1,Old,1,1,1,1,1,1,1,1,0,0,0,1,1,"7,520",10
6200000,720,Kharghar,1,Old,1,1,1,1,1,1,1,0,1,0,0,1,1,"8,611",10
4500000,550,Kharghar,1,Old,0,1,1,1,1,0,0,0,0,0,0,0,0,"8,182",4
6900000,735,Kharghar,1,Old,1,1,1,1,1,1,1,1,0,1,0,1,1,"9,388",11
4500000,580,Kharghar,1,Old,0,1,1,1,1,0,0,0,0,0,0,0,0,"7,759",4
10000000,1505,Kharghar,3,Old,1,1,1,1,1,0,0,0,0,0,0,0,0,"6,645",5
13000000,1630,Kharghar,3,Old,0,1,1,1,1,0,0,1,1,0,0,0,0,"7,975",6
11000000,1550,Kharghar,3,Old,1,1,1,1,1,1,0,1,1,0,0,1,0,"7,097",9
13000000,1455,Sector 18 Kharghar,3,Old,0,1,1,1,1,0,0,1,0,0,0,0,0,"8,935",5
10500000,1098,Kharghar,2,Old,1,1,1,1,1,0,1,1,1,0,0,1,1,"9,563",10
13000000,1210,Sector 15 Kharghar,2,Old,1,1,1,1,1,1,1,1,1,0,0,0,0,"10,744",9
9500000,1000,Kharghar,2,Old,1,1,1,1,1,0,1,1,0,0,0,1,1,"9,500",9
4500000,550,Kharghar,1,Old,0,1,1,1,1,0,0,1,0,0,0,0,0,"8,182",5
13000000,1630,Kharghar,3,Old,0,1,1,1,1,0,0,1,0,0,0,0,0,"7,975",5
13600000,1680,Kharghar,3,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"8,095",12
16200000,1650,Kharghar,3,Old,1,1,1,1,1,0,1,1,0,0,0,1,1,"9,818",9
15000000,1440,Kharghar,3,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"10,417",12
13200000,1370,Kharghar,3,Old,1,1,1,1,1,1,1,1,0,0,0,1,1,"9,635",10
7500000,1022,Sector 18 Kharghar,2,Old,0,1,1,1,1,0,0,0,0,0,0,0,0,"7,339",4
9500000,1000,Kharghar,2,Old,1,1,1,1,1,0,1,0,0,0,0,1,1,"9,500",8
15000000,1760,Kharghar,3,Old,1,1,1,0,1,1,1,0,0,0,0,1,1,"8,523",8
